iter	Passed	Remaining
0	1	150
1	3	147
2	4	152
3	6	150
4	7	147
5	9	146
6	11	146
7	12	145
8	14	141
9	15	139
10	17	138
11	18	138
12	20	137
13	21	134
14	23	132
15	24	129
16	26	127
17	27	125
18	28	123
19	30	122
20	32	122
21	34	122
22	35	120
23	37	119
24	38	116
25	40	114
26	41	113
27	43	111
28	44	109
29	46	108
30	48	106
31	49	105
32	50	103
33	52	101
34	53	99
35	54	97
36	56	95
37	57	93
38	58	92
39	60	90
40	61	88
41	62	86
42	63	84
43	65	82
44	66	81
45	67	79
46	69	78
47	70	76
48	72	75
49	73	73
50	75	72
51	76	71
52	78	69
53	80	68
54	81	66
55	82	65
56	84	63
57	85	62
58	87	60
59	88	59
60	90	58
61	92	56
62	94	55
63	95	53
64	96	52
65	98	50
66	99	49
67	101	47
68	102	46
69	104	44
70	105	43
71	107	41
72	108	40
73	109	38
74	111	37
75	112	35
76	114	34
77	115	32
78	117	31
79	118	29
80	119	28
81	121	26
82	122	25
83	123	23
84	125	22
85	126	20
86	127	19
87	129	17
88	130	16
89	132	14
90	133	13
91	135	11
92	136	10
93	137	8
94	139	7
95	140	5
96	142	4
97	143	2
98	145	1
99	147	0
